date,affiliate_id,affiliate_name,niche,clicks,conversions,conversion_rate,epc,revenue,commission
2026-04-17,aff_001,TechReviewPro,electronics,1813,52,0.029,0.408,429.29,34.34
2026-04-17,aff_002,GadgetGuru,electronics,2021,65,0.0323,0.4548,594.46,47.56
2026-04-17,aff_003,HomeEssentials,home,1689,45,0.027,0.3801,347.01,27.76
2026-04-17,aff_004,FitLifeDeals,fitness,1947,60,0.0312,0.4383,531.85,42.55
2026-04-17,aff_005,BudgetBuyer,general,2944,46,0.0157,0.1767,163.35,13.07
2026-04-17,aff_006,PremiumPickz,luxury,1417,107,0.0756,1.3292,2848.52,227.88
2026-04-17,aff_007,EcoFriendlyShop,sustainability,2300,84,0.0368,0.5177,876.54,70.12
2026-04-17,aff_008,PetParadise,pets,1810,52,0.029,0.4074,427.28,34.18
2026-04-18,aff_001,TechReviewPro,electronics,2000,64,0.032,0.4501,576.27,46.1
2026-04-18,aff_002,GadgetGuru,electronics,1661,44,0.0266,0.3739,330.18,26.41
2026-04-18,aff_003,HomeEssentials,home,2330,86,0.0373,0.5243,910.83,72.87
2026-04-18,aff_004,FitLifeDeals,fitness,2296,84,0.0367,0.5167,871.78,69.74
2026-04-18,aff_005,BudgetBuyer,general,2758,40,0.0147,0.1655,134.28,10.74
2026-04-18,aff_006,PremiumPickz,luxury,1266,85,0.0676,1.1875,2031.32,162.51
2026-04-18,aff_007,EcoFriendlyShop,sustainability,2087,69,0.0334,0.4696,654.6,52.37
2026-04-18,aff_008,PetParadise,pets,1722,47,0.0276,0.3875,367.76,29.42
2026-04-19,aff_001,TechReviewPro,electronics,2210,78,0.0354,0.4973,777.16,62.17
2026-04-19,aff_002,GadgetGuru,electronics,1929,59,0.0309,0.4342,517.31,41.38
2026-04-19,aff_003,HomeEssentials,home,2222,79,0.0356,0.5002,790.53,63.24
2026-04-19,aff_004,FitLifeDeals,fitness,2024,65,0.0324,0.4555,597.15,47.77
2026-04-19,aff_005,BudgetBuyer,general,2400,30,0.0128,0.144,88.52,7.08
2026-04-19,aff_006,PremiumPickz,luxury,1115,66,0.0595,1.0459,1387.68,111.01
2026-04-19,aff_007,EcoFriendlyShop,sustainability,1615,41,0.0258,0.3635,303.5,24.28
2026-04-19,aff_008,PetParadise,pets,2343,87,0.0375,0.5272,926.3,74.1
2026-04-20,aff_001,TechReviewPro,electronics,2302,84,0.0368,0.5182,879.06,70.32
2026-04-20,aff_002,GadgetGuru,electronics,2144,73,0.0343,0.4825,709.93,56.79
2026-04-20,aff_003,HomeEssentials,home,1846,54,0.0295,0.4154,452.93,36.23
2026-04-20,aff_004,FitLifeDeals,fitness,1646,43,0.0263,0.3704,321.22,25.7
2026-04-20,aff_005,BudgetBuyer,general,3453,63,0.0184,0.2072,263.59,21.09
2026-04-20,aff_006,PremiumPickz,luxury,1414,106,0.0754,1.3261,2829.29,226.34
2026-04-20,aff_007,EcoFriendlyShop,sustainability,1668,44,0.0267,0.3754,334.34,26.75
2026-04-20,aff_008,PetParadise,pets,1988,63,0.0318,0.4475,566.15,45.29
2026-04-21,aff_001,TechReviewPro,electronics,1655,43,0.0265,0.3725,326.53,26.12
2026-04-21,aff_002,GadgetGuru,electronics,2083,69,0.0333,0.4688,650.94,52.08
2026-04-21,aff_003,HomeEssentials,home,2212,78,0.0354,0.4979,779.74,62.38
2026-04-21,aff_004,FitLifeDeals,fitness,1702,46,0.0272,0.3831,355.28,28.42
2026-04-21,aff_005,BudgetBuyer,general,2970,47,0.0158,0.1782,167.71,13.42
2026-04-21,aff_006,PremiumPickz,luxury,1223,79,0.0653,1.1474,1831.99,146.56
2026-04-21,aff_007,EcoFriendlyShop,sustainability,1812,52,0.029,0.4077,428.38,34.27
2026-04-21,aff_008,PetParadise,pets,2297,84,0.0368,0.517,873.32,69.87
2026-04-22,aff_001,TechReviewPro,electronics,1938,60,0.031,0.4362,524.35,41.95
2026-04-22,aff_002,GadgetGuru,electronics,1663,44,0.0266,0.3742,331.25,26.5
2026-04-22,aff_003,HomeEssentials,home,2031,66,0.0325,0.4571,603.46,48.28
2026-04-22,aff_004,FitLifeDeals,fitness,2183,76,0.0349,0.4914,749.67,59.97
2026-04-22,aff_005,BudgetBuyer,general,2641,37,0.0141,0.1585,117.93,9.43
2026-04-22,aff_006,PremiumPickz,luxury,1109,65,0.0592,1.0403,1365.47,109.24
2026-04-22,aff_007,EcoFriendlyShop,sustainability,2396,91,0.0383,0.5391,990.46,79.24
2026-04-22,aff_008,PetParadise,pets,2119,71,0.0339,0.477,685.64,54.85
2026-04-23,aff_001,TechReviewPro,electronics,1950,60,0.0312,0.4389,534.13,42.73
2026-04-23,aff_002,GadgetGuru,electronics,1886,56,0.0302,0.4245,483.27,38.66
2026-04-23,aff_003,HomeEssentials,home,1696,46,0.0271,0.3818,351.58,28.13
2026-04-23,aff_004,FitLifeDeals,fitness,1779,50,0.0285,0.4004,405.72,32.46
2026-04-23,aff_005,BudgetBuyer,general,2805,41,0.015,0.1683,141.32,11.31
2026-04-23,aff_006,PremiumPickz,luxury,1242,82,0.0663,1.1647,1917.06,153.36
2026-04-23,aff_007,EcoFriendlyShop,sustainability,1784,50,0.0285,0.4014,408.85,32.71
2026-04-23,aff_008,PetParadise,pets,1776,50,0.0284,0.3996,403.41,32.27
2026-04-24,aff_001,TechReviewPro,electronics,1656,43,0.0265,0.3728,327.29,26.18
2026-04-24,aff_002,GadgetGuru,electronics,1964,61,0.0314,0.442,545.76,43.66
2026-04-24,aff_003,HomeEssentials,home,1783,50,0.0285,0.4012,408.19,32.66
2026-04-24,aff_004,FitLifeDeals,fitness,2324,86,0.0372,0.523,904.0,72.32
2026-04-24,aff_005,BudgetBuyer,general,3431,62,0.0183,0.2059,258.57,20.69
2026-04-24,aff_006,PremiumPickz,luxury,994,52,0.053,0.9319,982.13,78.57
2026-04-24,aff_007,EcoFriendlyShop,sustainability,1790,51,0.0286,0.4028,413.13,33.05
2026-04-24,aff_008,PetParadise,pets,2135,72,0.0342,0.4804,700.81,56.06
2026-04-25,aff_001,TechReviewPro,electronics,1771,50,0.0283,0.3986,400.11,32.01
2026-04-25,aff_002,GadgetGuru,electronics,1586,40,0.0254,0.3569,287.4,22.99
2026-04-25,aff_003,HomeEssentials,home,2348,88,0.0376,0.5284,932.35,74.59
2026-04-25,aff_004,FitLifeDeals,fitness,2056,67,0.0329,0.4628,626.26,50.1
2026-04-25,aff_005,BudgetBuyer,general,2967,46,0.0158,0.178,167.18,13.37
2026-04-25,aff_006,PremiumPickz,luxury,1336,95,0.0713,1.2531,2386.83,190.95
2026-04-25,aff_007,EcoFriendlyShop,sustainability,2245,80,0.0359,0.5053,815.39,65.23
2026-04-25,aff_008,PetParadise,pets,1752,49,0.028,0.3943,387.34,30.99
2026-04-26,aff_001,TechReviewPro,electronics,1677,45,0.0268,0.3774,339.79,27.18
2026-04-26,aff_002,GadgetGuru,electronics,1802,51,0.0288,0.4055,421.41,33.71
2026-04-26,aff_003,HomeEssentials,home,1938,60,0.031,0.4362,524.54,41.96
2026-04-26,aff_004,FitLifeDeals,fitness,1973,62,0.0316,0.4441,553.33,44.27
2026-04-26,aff_005,BudgetBuyer,general,3274,57,0.0175,0.1965,224.73,17.98
2026-04-26,aff_006,PremiumPickz,luxury,1283,87,0.0684,1.203,2112.64,169.01
2026-04-26,aff_007,EcoFriendlyShop,sustainability,2387,91,0.0382,0.5371,979.51,78.36
2026-04-26,aff_008,PetParadise,pets,1678,45,0.0269,0.3777,340.48,27.24
2026-04-27,aff_001,TechReviewPro,electronics,1922,59,0.0308,0.4325,511.25,40.9
2026-04-27,aff_002,GadgetGuru,electronics,1727,47,0.0276,0.3888,371.27,29.7
2026-04-27,aff_003,HomeEssentials,home,2289,83,0.0366,0.5151,863.77,69.1
2026-04-27,aff_004,FitLifeDeals,fitness,1798,51,0.0288,0.4048,418.94,33.52
2026-04-27,aff_005,BudgetBuyer,general,2628,36,0.014,0.1577,116.18,9.29
2026-04-27,aff_006,PremiumPickz,luxury,1175,73,0.0627,1.1019,1623.16,129.85
2026-04-27,aff_007,EcoFriendlyShop,sustainability,1937,60,0.031,0.4359,523.54,41.88
2026-04-27,aff_008,PetParadise,pets,1822,53,0.0292,0.4101,435.89,34.87
2026-04-28,aff_001,TechReviewPro,electronics,1799,51,0.0288,0.405,419.6,33.57
2026-04-28,aff_002,GadgetGuru,electronics,2151,74,0.0344,0.4841,716.91,57.35
2026-04-28,aff_003,HomeEssentials,home,1954,61,0.0313,0.4398,537.44,43.0
2026-04-28,aff_004,FitLifeDeals,fitness,2289,83,0.0366,0.515,863.57,69.09
2026-04-28,aff_005,BudgetBuyer,general,3060,49,0.0163,0.1836,183.42,14.67
2026-04-28,aff_006,PremiumPickz,luxury,984,51,0.0525,0.9228,953.31,76.26
2026-04-28,aff_007,EcoFriendlyShop,sustainability,2399,92,0.0384,0.5399,994.44,79.56
2026-04-28,aff_008,PetParadise,pets,2268,82,0.0363,0.5105,840.57,67.25
2026-04-29,aff_001,TechReviewPro,electronics,2375,90,0.038,0.5344,964.71,77.18
2026-04-29,aff_002,GadgetGuru,electronics,2146,73,0.0343,0.4829,711.58,56.93
2026-04-29,aff_003,HomeEssentials,home,2278,83,0.0365,0.5128,851.84,68.15
2026-04-29,aff_004,FitLifeDeals,fitness,1733,48,0.0277,0.3899,374.76,29.98
2026-04-29,aff_005,BudgetBuyer,general,2982,47,0.0159,0.179,169.8,13.58
2026-04-29,aff_006,PremiumPickz,luxury,1062,60,0.0567,0.9962,1199.12,95.93
2026-04-29,aff_007,EcoFriendlyShop,sustainability,1920,59,0.0307,0.4322,510.05,40.8
2026-04-29,aff_008,PetParadise,pets,1646,43,0.0264,0.3706,321.44,25.72
2026-04-30,aff_001,TechReviewPro,electronics,1903,57,0.0305,0.4282,496.28,39.7
2026-04-30,aff_002,GadgetGuru,electronics,2181,76,0.0349,0.4908,747.15,59.77
2026-04-30,aff_003,HomeEssentials,home,1812,52,0.029,0.4077,428.44,34.28
2026-04-30,aff_004,FitLifeDeals,fitness,2227,79,0.0356,0.5011,795.41,63.63
2026-04-30,aff_005,BudgetBuyer,general,2946,46,0.0157,0.1768,163.64,13.09
2026-04-30,aff_006,PremiumPickz,luxury,1163,72,0.062,1.0904,1573.16,125.85
2026-04-30,aff_007,EcoFriendlyShop,sustainability,2365,89,0.0379,0.5323,953.1,76.25
2026-04-30,aff_008,PetParadise,pets,2396,91,0.0383,0.5392,990.64,79.25
2026-05-01,aff_001,TechReviewPro,electronics,2044,66,0.0327,0.46,615.23,49.22
2026-05-01,aff_002,GadgetGuru,electronics,1979,62,0.0317,0.4453,558.05,44.64
2026-05-01,aff_003,HomeEssentials,home,1723,47,0.0276,0.3879,368.65,29.49
2026-05-01,aff_004,FitLifeDeals,fitness,1837,54,0.0294,0.4134,446.51,35.72
2026-05-01,aff_005,BudgetBuyer,general,3562,67,0.019,0.2137,289.32,23.15
2026-05-01,aff_006,PremiumPickz,luxury,1238,81,0.066,1.1606,1897.43,151.79
2026-05-01,aff_007,EcoFriendlyShop,sustainability,2033,66,0.0325,0.4576,605.44,48.44
2026-05-01,aff_008,PetParadise,pets,2198,77,0.0352,0.4946,764.83,61.19
2026-05-02,aff_001,TechReviewPro,electronics,1645,43,0.0263,0.3703,320.79,25.66
2026-05-02,aff_002,GadgetGuru,electronics,1874,56,0.03,0.4217,474.05,37.92
2026-05-02,aff_003,HomeEssentials,home,2002,64,0.032,0.4505,577.89,46.23
2026-05-02,aff_004,FitLifeDeals,fitness,2282,83,0.0365,0.5135,855.75,68.46
2026-05-02,aff_005,BudgetBuyer,general,2588,35,0.0138,0.1553,111.01,8.88
2026-05-02,aff_006,PremiumPickz,luxury,1421,107,0.0758,1.3324,2870.04,229.6
2026-05-02,aff_007,EcoFriendlyShop,sustainability,1664,44,0.0266,0.3744,331.77,26.54
2026-05-02,aff_008,PetParadise,pets,1748,48,0.028,0.3934,384.84,30.79
2026-05-03,aff_001,TechReviewPro,electronics,2076,68,0.0332,0.4671,644.21,51.54
2026-05-03,aff_002,GadgetGuru,electronics,1933,59,0.0309,0.435,520.18,41.61
2026-05-03,aff_003,HomeEssentials,home,1788,51,0.0286,0.4023,411.64,32.93
2026-05-03,aff_004,FitLifeDeals,fitness,1695,45,0.0271,0.3816,351.0,28.08
2026-05-03,aff_005,BudgetBuyer,general,3468,64,0.0185,0.2081,267.0,21.36
2026-05-03,aff_006,PremiumPickz,luxury,1078,61,0.0575,1.0108,1253.15,100.25
2026-05-03,aff_007,EcoFriendlyShop,sustainability,2075,68,0.0332,0.467,643.64,51.49
2026-05-03,aff_008,PetParadise,pets,2095,70,0.0335,0.4715,662.36,52.99
2026-05-04,aff_001,TechReviewPro,electronics,1935,59,0.031,0.4355,521.85,41.75
2026-05-04,aff_002,GadgetGuru,electronics,1860,55,0.0298,0.4186,463.43,37.07
2026-05-04,aff_003,HomeEssentials,home,2018,65,0.0323,0.4541,591.83,47.35
2026-05-04,aff_004,FitLifeDeals,fitness,2347,88,0.0376,0.5282,931.44,74.52
2026-05-04,aff_005,BudgetBuyer,general,2645,37,0.0141,0.1587,118.44,9.48
2026-05-04,aff_006,PremiumPickz,luxury,1303,90,0.0695,1.2223,2214.87,177.19
2026-05-04,aff_007,EcoFriendlyShop,sustainability,1790,51,0.0287,0.403,413.38,33.07
2026-05-04,aff_008,PetParadise,pets,1916,58,0.0307,0.4312,506.76,40.54
2026-05-05,aff_001,TechReviewPro,electronics,2137,73,0.0342,0.4809,702.89,56.23
2026-05-05,aff_002,GadgetGuru,electronics,1649,43,0.0264,0.3712,323.18,25.85
2026-05-05,aff_003,HomeEssentials,home,1852,54,0.0296,0.4169,457.82,36.63
2026-05-05,aff_004,FitLifeDeals,fitness,2201,77,0.0352,0.4953,768.04,61.44
2026-05-05,aff_005,BudgetBuyer,general,2487,32,0.0133,0.1492,98.45,7.88
2026-05-05,aff_006,PremiumPickz,luxury,1179,74,0.0629,1.1062,1641.58,131.33
2026-05-05,aff_007,EcoFriendlyShop,sustainability,2398,92,0.0384,0.5397,993.47,79.48
2026-05-05,aff_008,PetParadise,pets,2396,91,0.0384,0.5393,991.08,79.29
2026-05-06,aff_001,TechReviewPro,electronics,1658,43,0.0265,0.3732,328.4,26.27
2026-05-06,aff_002,GadgetGuru,electronics,1581,40,0.0253,0.3559,284.77,22.78
2026-05-06,aff_003,HomeEssentials,home,1812,52,0.029,0.4077,428.43,34.27
2026-05-06,aff_004,FitLifeDeals,fitness,2346,88,0.0375,0.528,930.13,74.41
2026-05-06,aff_005,BudgetBuyer,general,3457,63,0.0184,0.2074,264.42,21.15
2026-05-06,aff_006,PremiumPickz,luxury,1382,101,0.0737,1.2957,2639.7,211.18
2026-05-06,aff_007,EcoFriendlyShop,sustainability,1895,57,0.0303,0.4265,490.28,39.22
2026-05-06,aff_008,PetParadise,pets,1726,47,0.0276,0.3884,370.3,29.62
2026-05-07,aff_001,TechReviewPro,electronics,2266,82,0.0363,0.5101,838.48,67.08
2026-05-07,aff_002,GadgetGuru,electronics,1924,59,0.0308,0.4331,513.29,41.06
2026-05-07,aff_003,HomeEssentials,home,2089,69,0.0334,0.4701,656.58,52.53
2026-05-07,aff_004,FitLifeDeals,fitness,2389,91,0.0382,0.5377,982.35,78.59
2026-05-07,aff_005,BudgetBuyer,general,3184,54,0.017,0.1911,206.69,16.54
2026-05-07,aff_006,PremiumPickz,luxury,963,49,0.0514,0.9035,894.46,71.56
2026-05-07,aff_007,EcoFriendlyShop,sustainability,2253,81,0.0361,0.5071,823.91,65.91
2026-05-07,aff_008,PetParadise,pets,1839,54,0.0294,0.4139,448.04,35.84
2026-05-08,aff_001,TechReviewPro,electronics,2130,72,0.0341,0.4794,696.24,55.7
2026-05-08,aff_002,GadgetGuru,electronics,2084,69,0.0334,0.4691,652.09,52.17
2026-05-08,aff_003,HomeEssentials,home,1707,46,0.0273,0.3842,358.31,28.66
2026-05-08,aff_004,FitLifeDeals,fitness,1692,45,0.0271,0.3808,348.91,27.91
2026-05-08,aff_005,BudgetBuyer,general,2528,34,0.0135,0.1517,103.43,8.27
2026-05-08,aff_006,PremiumPickz,luxury,1225,80,0.0654,1.149,1839.91,147.19
2026-05-08,aff_007,EcoFriendlyShop,sustainability,1817,52,0.0291,0.409,432.33,34.59
2026-05-08,aff_008,PetParadise,pets,2083,69,0.0333,0.4689,651.27,52.1
2026-05-09,aff_001,TechReviewPro,electronics,2174,75,0.0348,0.4892,739.86,59.19
2026-05-09,aff_002,GadgetGuru,electronics,1557,38,0.0249,0.3504,271.84,21.75
2026-05-09,aff_003,HomeEssentials,home,2107,71,0.0337,0.4742,673.73,53.9
2026-05-09,aff_004,FitLifeDeals,fitness,1811,52,0.029,0.4075,427.74,34.22
2026-05-09,aff_005,BudgetBuyer,general,2986,47,0.0159,0.1792,170.42,13.63
2026-05-09,aff_006,PremiumPickz,luxury,1394,103,0.0744,1.3074,2711.05,216.88
2026-05-09,aff_007,EcoFriendlyShop,sustainability,2276,82,0.0364,0.5123,849.54,67.96
2026-05-09,aff_008,PetParadise,pets,1673,44,0.0268,0.3766,337.49,27.0
2026-05-10,aff_001,TechReviewPro,electronics,1938,60,0.031,0.4362,524.54,41.96
2026-05-10,aff_002,GadgetGuru,electronics,1602,41,0.0256,0.3606,296.31,23.7
2026-05-10,aff_003,HomeEssentials,home,1602,41,0.0256,0.3606,296.33,23.71
2026-05-10,aff_004,FitLifeDeals,fitness,2216,78,0.0355,0.4988,784.14,62.73
2026-05-10,aff_005,BudgetBuyer,general,3164,53,0.0169,0.1899,202.79,16.22
2026-05-10,aff_006,PremiumPickz,luxury,1085,62,0.0579,1.0179,1279.03,102.32
2026-05-10,aff_007,EcoFriendlyShop,sustainability,2192,76,0.0351,0.4934,759.0,60.72
2026-05-10,aff_008,PetParadise,pets,2041,66,0.0327,0.4593,612.36,48.99
2026-05-11,aff_001,TechReviewPro,electronics,1942,60,0.0311,0.437,527.41,42.19
